,accuracy,f1-measure,false-positive-rate,precision,recall
0,0.0,inf,1.0,0.0,0.0
1,0.76397515528,0.296296296296,0.0944881889764,0.4,0.235294117647
2,1.0,1.0,0.0,1.0,1.0
3,0.17701863354,0.300791556728,1.0,0.183279742765,0.838235294118
